"annee","droit","type","beneficiaire","montant","nature","id"
2008,"privé","Association","AAEE - ENS CACHAN",500,"non",1
2008,"privé","Association","AAVI - AIDE VICTIMES D'INFRACTION",50935,"oui",2
2008,"privé","Association","ABCDE - ASSOCIATION BISONTINE CADRES DEMANDEURS D'EMPLOI",0,"oui",3
2008,"privé","Association","ACADEMIE DE MUSIQUE TCHAIKOVSKI",1000,"non",4
2008,"privé","Association","ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS",800,"non",5
2008,"privé","Association","ACCRORAP COMPAGNIE",15000,"non",6
2008,"privé","Association","ACCUEIL FAMILLES PERGAUD",0,"oui",7
2008,"privé","Association","ADAPEI - FOYER MARCEAU",0,"oui",8
2008,"privé","Association","ADDSEA - PREVENTION SPECIALISEE",536526.26,"oui",9
2008,"privé","Association","ADDSEA - SERVICE INSERTION",30450,"oui",10
2008,"privé","Association","ADDSEA - MANDATAIRES",0,"oui",11
2008,"privé","Association","ADDSEA - SOLEA",25090,"non",12
2008,"privé","Association","ADIE DOUBS",0,"oui",13
2008,"privé","Association","ADIF - ASSOCIATION DES DEPORTES INTERNES ET FAMILLES DE DISPARUS",0,"oui",14
2008,"privé","Association","ADMD",0,"oui",15
2008,"privé","Association","ADORR",331,"non",16
2008,"privé","Association","ADPC 25 ASS DEP PROTECTION CIVILE DOUBS",0,"oui",17
2008,"privé","Association","ADRIA ASS DEVELOP RECHERCHE IDEES AUTOGESTION",0,"oui",18
2008,"privé","Association","AERO-CLUB DE BESANCON - LA VEZE",10147,"non",19
2008,"privé","Association","AFPA CENTRE AFPA BESANCON",0,"oui",20
2008,"privé","Association","AFRIQ'ENERGIES - GRAVIERS BLANCS",8600,"non",21
2008,"privé","Association","AGIR ABCD FRANCHE COMTE",0,"oui",22
2008,"privé","Association","AGIR ET REAGIR CONSO",700,"oui",23
2008,"privé","Association","2AD - AIDE AUX DETENUS",4420,"non",24
2008,"privé","Association","AIDES",2900,"non",25
2008,"privé","Association","AIGLON SPORTS",1104,"non",26
2008,"privé","Association","AIVS - AGENCE IMMOBILIERE A VOCATION SOCIALE",4500,"non",27
2008,"privé","Association","ALCOOL ASSISTANCE CROIX OR BESANCON",800,"oui",28
2008,"privé","Association","ALCOOL ASSISTANCE CROIX OR DIJON",300,"non",29
2008,"privé","Association","ALCOOLIQUES ANONYMES",0,"oui",30
2008,"privé","Association","ALEDD",13049.67,"oui",31
2008,"privé","Association","ALIEN IN PARADISE",2000,"non",32
2008,"privé","Association","ALLIANCE GLISSE DE FRANCHE COMTE",135,"non",33
2008,"privé","Association","ALOUETTE (L')",0,"oui",34
2008,"privé","Association","ALTERNATIVE CHANTIERS FRANCHE-COMTE",12761,"oui",35
2008,"privé","Association","AMHNB AMIS DU MUSEUM D'HISTOIRE NATURELLE BESANCON",800,"oui",36
2008,"privé","Association","AMICALE CLUB BOULISTE BISONTIN",527,"non",37
2008,"privé","Association","AMICALE CYCLISTE BISONTINE ACB",31780,"oui",38
2008,"privé","Association","AMICALE DE BREGILLE VILLAGE",2200,"oui",39
